Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,p_choice.keys,p_choice.rt,p_choice.duration,p_next_trial_input.keys,p_next_trial_input.rt,p_next_trial_input.duration,happiness_rating_prac.response,happiness_rating_prac.rt,key_resp_5.keys,key_resp_9.keys,key_resp_5.rt,key_resp_5.duration,key_resp_9.rt,key_resp_9.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,user_choice.keys,user_choice.rt,user_choice.duration,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,p_outcome_square_2.started,intro_outcome_text_5.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,instructions_t2_chosen_gamble.started,fixation_inst_5a_3.started,intro_gambletop_3.started,intro_gamblelow_3.started,intro_gambletop_txt_3.started,intro_gambletop_p_3.started,intro_gamblelow_txt_3.started,intro_gamblelow_p_3.started,instructions_t2_chosen_gamble.stopped,instructions_t2_outcome.started,total_prompt_inst_5a_2.started,p_outcome_square_3.started,intro_outcome_text_3.started,intro_outcome_text_2.started,intro_next_trial_txt.started,intro_next_trial_input.started,instructions_t2_outcome.stopped,intro_next_trial_input.keys,intro_next_trial_input.rt,intro_next_trial_input.duration,instructions6.started,instructions_text.started,Continue_txt_2.started,key_resp_inst_5.started,instructions6.stopped,key_resp_inst_5.keys,key_resp_inst_5.rt,key_resp_inst_5.duration,instructions7.started,total_prompt_inst_5a_3.started,fixation_inst_5a_6.started,prog_5.started,p_outcome_square_4.started,intro_outcome_text_4.started,instrutions_text.started,key_resp_inst_6.started,arrow1.started,arrow2.started,instructions7.stopped,key_resp_inst_6.keys,key_resp_inst_6.rt,key_resp_inst_6.duration,instructions8.started,instructions_text_3.started,Continue_txt_3.started,key_resp_inst_7.started,instructions8.stopped,key_resp_inst_7.keys,key_resp_inst_7.rt,key_resp_inst_7.duration,happy_overall.started,question_3.started,happiness_rating_overall.started,low_end_text_3.started,high_end_text_3.started,key_resp_7.started,exit_text_4.started,happy_overall.stopped,happiness_rating_overall.response,happiness_rating_overall.rt,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions10.started,instructions_text_6.started,Continue_txt_4.started,key_resp_inst_8.started,instructions10.stopped,key_resp_inst_8.keys,key_resp_inst_8.rt,key_resp_inst_8.duration,happy_base.started,question_5.started,happiness_rating_baseline.started,low_end_text_5.started,high_end_text_5.started,exit_text_3.started,key_resp_8.started,happy_base.stopped,happiness_rating_baseline.response,happiness_rating_baseline.rt,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions10_2.started,instructions_text_2.started,Continue_txt_6.started,key_resp_inst_11.started,instructions10_2.stopped,key_resp_inst_11.keys,key_resp_inst_11.rt,key_resp_inst_11.duration,instructions11.started,instructions_text_7.started,Continue_txt_5.started,key_resp_inst_9.started,instructions11.stopped,key_resp_inst_9.keys,key_resp_inst_9.rt,key_resp_inst_9.duration,first_delay.started,text_3.started,first_delay.stopped,p_options_show.started,p_fixation_cross_4.started,p_box1.started,p_box2.started,p_box3.started,p_box4.started,p_box1_mag.started,p_box1_P.started,p_box2_mag.started,p_box2_P.started,p_box3_mag.started,p_box3_P.started,p_box4_mag.started,p_box4_P.started,p_choice.started,practice_txt_2.started,p_options_show.stopped,practice_trials.p_choice.keys,practice_trials.p_choice.rt,practice_trials.p_choice.duration,choice_prac,p_chosen_option.started,fixation_5.started,p_box1_2.started,p_box2_2.started,p_box3_2.started,p_box4_2.started,p_box1_mag_2.started,p_box1_P_2.started,p_box2_mag_2.started,p_box2_P_2.started,p_box3_mag_2.started,p_box3_P_2.started,p_box4_mag_2.started,p_box4_P_2.started,practice_txt_3.started,p_chosen_option.stopped,current_money_prac,outcome_prac,p_reward_outcome.started,p_money_prompt.started,practice_txt.started,p_outcome_square.started,p_outcome_text.started,p_reward_txt.started,p_prog_bar.started,p_next_trial_txt.started,p_next_trial_input.started,p_reward_outcome.stopped,practice_trials.p_next_trial_input.keys,practice_trials.p_next_trial_input.rt,practice_trials.p_next_trial_input.duration,iti.started,text.started,iti.stopped,p_happiness_trial.started,p_happiness_trial.stopped,practice_trials.happiness_rating_prac.response,practice_trials.happiness_rating_prac.rt,practice_trials.key_resp_5.keys,p_h_iti.started,p_h_iti.stopped,repeat_practice.started,repeat_practice.stopped,practice_trials.key_resp_9.keys,repeat_iti.started,repeat_iti.stopped,question_4.started,happiness_rating_prac.started,low_end_text_4.started,high_end_text_4.started,exit_text_2.started,key_resp_5.started,practice_trials.key_resp_5.rt,practice_trials.key_resp_5.duration,text_2.started,repeat_practice_txt.started,key_resp_9.started,practice_trials.key_resp_9.rt,practice_trials.key_resp_9.duration,instructions12.started,instructions_text_8.started,key_resp_inst_10.started,instructions12.stopped,key_resp_inst_10.keys,key_resp_inst_10.rt,key_resp_inst_10.duration,options_show.started,fixation_cross_2.started,box1.started,box2.started,box3.started,box4.started,box1_mag.started,box1_P.started,box2_mag.started,box2_P.started,box3_mag.started,box3_P.started,box4_mag.started,box4_P.started,user_choice.started,options_show.stopped,trials.user_choice.keys,trials.user_choice.rt,trials.user_choice.duration,choice,chosen_option.started,fixation_7.started,box1_2.started,box2_2.started,box3_2.started,box4_2.started,box1_mag_2.started,box1_P_2.started,box2_mag_2.started,box2_P_2.started,box3_mag_2.started,box3_P_2.started,box4_mag_2.started,box4_P_2.started,chosen_option.stopped,current_money,outcome,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,6,0,6,,,,left,1.6466176249959972,None,space,0.8222489159961697,None,None,None,None,None,,,,,,,,,6,0,6,0,,,,,,,,66.50477945900639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.49630387499928,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,66.50477945900639,68.15866854198975,left,1.6466176249959972,None,0,68.16193933400791,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,68.17063929198775,69.14162870901055,5.6499999999999995,-1,69.14448695900501,69.153385084006,69.153385084006,69.153385084006,69.153385084006,69.153385084006,69.153385084006,70.13568091701018,70.13568091701018,70.96132916701026,space,0.8222489159961697,None,70.96136616700096,70.969610250002,71.94829400000162,71.9488421670103,71.94904620898888,None,None,None,71.94908104199567,71.9490949169849,71.94910654198611,71.94911987500382,None,71.94913649998489,71.94914966699434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,7,0,7,,,,left,1.6163662089966238,None,space,13.299020583974198,None,17.0,2.750605584005825,return,None,1.1801204580115154,None,,,,,,,7,0,7,0,,,,,,,,71.96344650001265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.95402012500563,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,71.96344650001265,73.58526037499541,left,1.6163662089966238,None,0,73.58918829201139,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,73.59714345898828,74.57472537498688,5.8999999999999995,-1,74.57733354199445,74.5863742090005,74.5863742090005,74.5863742090005,74.5863742090005,74.5863742090005,74.5863742090005,75.56806654200773,75.56806654200773,88.86809524998534,space,13.299020583974198,None,88.86813316700864,88.87735745898681,89.85869454199565,89.85922941699391,93.56599287499557,17.0,2.750605584005825,return,93.56603812499088,94.54879158400581,94.54881462501362,94.54883279200294,None,94.54885441699298,94.54886804200942,89.8660977499967,92.36583879200043,92.36583879200043,92.36583879200043,92.36583879200043,92.36583879200043,1.1801204580115154,None,93.57548479200341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,8,0,8,,,,left,0.6635822500102222,None,space,0.4465266249899287,None,None,None,None,None,,,,,,,,,8,0,8,0,,,,,,,,94.56275812498643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.55255379198934,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,94.56275812498643,95.23304341698531,left,0.6635822500102222,None,0,95.2366415419965,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,95.24606579198735,96.21602033398813,6.05,-1,96.21823354199296,96.22802037501242,96.22802037501242,96.22802037501242,96.22802037501242,96.22802037501242,96.22802037501242,97.21108670899412,97.21108670899412,97.66207395898527,space,0.4465266249899287,None,97.66211012500571,97.67046274998575,98.64894187499885,98.64943141699769,98.6496123750112,None,None,None,98.64964433398563,98.64965729200048,98.64966737499344,98.64967895898735,None,98.64969329201267,98.6497049590107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,9,0,9,,,,left,1.362871916993754,None,space,0.933654624997871,None,None,None,None,r,,,2.9175111670047045,None,,,,,9,0,9,0,,,,,,,,98.66370145900873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.65390895900782,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,98.66370145900873,100.03674654199858,left,1.362871916993754,None,0,100.04023966699606,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,100.04938679200131,101.02636154199718,6.3,1,101.02891970900237,101.03795583400642,101.03795583400642,101.03795583400642,101.03795583400642,101.03795583400642,101.03795583400642,102.01827304199105,102.01827304199105,102.96110679200501,space,0.933654624997871,None,102.96114229201339,102.96920933399815,103.94831300000078,103.94885062499088,103.94905095899594,None,None,None,103.94908558399766,103.94909958398785,103.94911091699032,107.86528179200832,r,107.86648608400719,107.86652300000424,,,,,,,,,,104.94114720899961,104.94114720899961,2.9175111670047045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,10,0,10,,,,left,2.165811999992002,None,space,0.5917740830045659,None,17.0,3.7880984579969663,return,None,2.5338101249944884,None,,,,,,,10,0,10,0,,,,,,,,107.8807558339904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.87085916698561,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,107.8807558339904,110.05309887501062,left,2.165811999992002,None,0,110.05818566700327,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,110.06617608398665,111.04149195901118,6.8,-1,111.04368641698966,111.0527142919891,111.0527142919891,111.0527142919891,111.0527142919891,111.0527142919891,111.0527142919891,112.03505874998518,112.03505874998518,112.64247691701166,space,0.5917740830045659,None,112.64251299999887,112.65089816699037,113.63187812498654,113.63241737498902,118.67745741701219,17.0,3.7880984579969663,return,118.67750145899481,119.66498800000409,119.66501229201094,119.66503266699146,None,119.66505620899261,119.66507037499105,113.64122362498892,116.14132633400732,116.14132633400732,116.14132633400732,116.14132633400732,116.14132633400732,2.5338101249944884,None,118.68456012499519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,11,0,11,,,,left,1.289546749991132,None,space,0.24096562500926666,None,None,None,None,None,,,,,,,,,11,0,11,0,,,,,,,,119.67796233401168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.66738316699048,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,119.67796233401168,120.97585275000893,left,1.289546749991132,None,0,120.9783039999893,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,120.98681841700454,121.96597091699368,6.95,-1,121.96797270901152,121.97776458400767,121.97776458400767,121.97776458400767,121.97776458400767,121.97776458400767,121.97776458400767,122.9612840419868,122.9612840419868,123.20297483401373,space,0.24096562500926666,None,123.20301979201031,123.21204208399286,124.19144195900299,124.19192770900554,124.1921119169856,None,None,None,124.19214629198541,124.19215916699613,124.1921694590128,124.19218170898966,None,124.19219645898556,124.19220858399058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,12,0,12,,,,right,1.832656958984444,None,space,0.6076778749993537,None,None,None,None,None,,,,,,,,,12,0,12,0,,,,,,,,124.20460054199793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1950938339869,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,124.20460054199793,126.0449830419966,right,1.832656958984444,None,1,126.04807449999498,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,126.05792954200297,127.03386562500964,7.1000000000000005,0,127.03583974999492,127.05865612500929,127.05865612500929,127.05865612500929,127.05865612500929,127.05865612500929,127.05865612500929,128.02578870899742,128.02578870899742,128.63494349998655,space,0.6076778749993537,None,128.6349764589977,128.64395800000057,129.62555466699996,129.626063083997,129.62625770899467,None,None,None,129.62629174999893,129.62630504200934,129.62631620900356,129.62632895901334,None,129.6263448339887,129.62635795900133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,13,0,13,,,,left,1.2874589579878375,None,space,0.5080879169981927,None,17.0,3.882841582992114,return,None,2.3079105420038104,None,,,,,,,13,0,13,0,,,,,,,,129.63916541700019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.6305766669975,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,129.63916541700019,130.9342801249877,left,1.2874589579878375,None,0,130.9389142919972,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,130.94807491698884,131.9177343340125,7.1000000000000005,1,131.92046920899884,131.93057320898515,131.93057320898515,131.93057320898515,131.93057320898515,131.93057320898515,131.93057320898515,132.90977950001252,132.90977950001252,133.42026029201224,space,0.5080879169981927,None,133.42029899999034,133.43011041698628,134.40869462498813,134.4092178749852,139.23907462498755,17.0,3.882841582992114,return,139.23911866699927,140.2255022090103,140.22552287500002,140.2255401670118,None,140.22556049999548,140.22557266699732,134.41719949999242,136.91609362501185,136.91609362501185,136.91609362501185,136.91609362501185,136.91609362501185,2.3079105420038104,None,139.2462884169945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,14,0,14,,,,right,1.4743329170159996,None,space,0.23523991601541638,None,None,None,None,None,,,,,,,,,14,0,14,0,,,,,,,,140.238266750006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.2290539999958,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,140.238266750006,141.7259133750049,right,1.4743329170159996,None,1,141.7306283749931,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,141.74033175001387,142.7161480000068,7.6000000000000005,-1,142.7183524169959,142.72834708399023,142.72834708399023,142.72834708399023,142.72834708399023,142.72834708399023,142.72834708399023,143.7104472919891,143.7104472919891,143.95340654198662,space,0.23523991601541638,None,143.95344266699976,143.9624562500103,144.9433141250047,144.94494662500801,144.9455112919968,None,None,None,144.9456299589947,144.94567266700324,144.94571033399552,144.94575008400716,None,144.94580049999058,144.9458437919966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,15,0,15,,,,left,1.1951747499988414,None,space,0.44526437498279847,None,17.0,2.8958589999820106,return,None,0.861015958013013,None,,,,,,,15,0,15,0,,,,,,,,144.97140716700233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.95965512498515,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,144.97140716700233,146.1700393339852,left,1.1951747499988414,None,0,146.17496216698783,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,146.1838865840109,147.1586408340081,7.95,-1,147.1603334590036,147.16922995899222,147.16922995899222,147.16922995899222,147.16922995899222,147.16922995899222,147.16922995899222,148.1518747920054,148.1518747920054,148.60101974999998,space,0.44526437498279847,None,148.60105658401153,148.61018570899614,149.59201804199256,149.5928082090104,152.97108700001263,17.0,2.8958589999820106,return,152.97113170899684,153.95974187500542,153.95981608401053,153.9598772499885,None,153.9599514589936,153.95999949998804,149.60011212498648,152.09972241701325,152.09972241701325,152.09972241701325,152.09972241701325,152.09972241701325,0.861015958013013,None,152.9788628339884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,16,0,16,,,,left,1.9623179170012008,None,space,0.3220423329912592,None,None,None,None,None,,,,,,,,,16,0,16,0,,,,,,,,153.98579945901292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.97133658398525,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,153.98579945901292,155.9511256669939,left,1.9623179170012008,None,0,155.95540108400746,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,155.96457229199586,156.94141816699994,8.3,-1,156.94417891700868,156.95310024998616,156.95310024998616,156.95310024998616,156.95310024998616,156.95310024998616,156.95310024998616,157.93485612500808,157.93485612500808,158.26266274999944,space,0.3220423329912592,None,158.26269829200464,158.27521487500053,159.24900824998622,159.24957275000634,159.24978891698993,None,None,None,159.2498270419892,159.24984237499302,159.24985424999613,159.24986854198505,None,159.24988616700284,159.24989970898605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
,17,0,17,,,,left,0.9875101670040749,None,space,0.3246983330172952,None,17.0,2.9832846249919385,return,None,1.367157499975292,None,,,,,,,17,0,17,0,,,,,,,,159.26458225000533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.2547354589915,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,159.26458225000533,160.25289883400546,left,0.9875101670040749,None,0,160.25717841699952,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,160.26623091701185,161.24186262500007,8.450000000000001,0,161.24378600000637,161.25280329200905,161.25280329200905,161.25280329200905,161.25280329200905,161.25280329200905,161.25280329200905,162.23547858398524,162.23547858398524,162.56752149999375,space,0.3246983330172952,None,162.56755804200657,162.57677779201185,163.55238358399947,163.5535860839882,167.468604624999,17.0,2.9832846249919385,return,167.46865016699303,168.45877783399192,168.4588007919956,168.45881979199476,None,168.45884212499368,168.45885579200694,163.56431704200804,166.08474633400328,166.08474633400328,166.08474633400328,166.08474633400328,166.08474633400328,1.367157499975292,None,167.4770781249972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21_16h59.26.745,Mood4,2024.2.4,2026-04-21 16h59.32.969070 -0400,
